Current Period,Customer ID,Periods Active,Current Customer (Y/N),Period Acquired,Period Terminated,Acquisition Channel,Sector,Referred (Y/N),Premium (Y/N),Region,Co. Age,Size,No. Maker Contracts,No. Advanced Contracts,"Revenue, Total",Maker Revenue,Advanced Revenue,Expected CLV
9,1762,1,N,-1,0,Internal,Aerospace,N,N,Southeast,10+yrs,Medium,0,1,29000,0,29000,923927
9,1763,2,N,-1,1,Internal,Aerospace,N,N,Southwest,0-5yrs,Small,0,1,29000,0,29000,2260632
9,1764,1,N,-1,0,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,1,1,50000,21000,29000,1790693
9,1870,4,N,0,4,Referral,Aerospace,Y,N,Southeast,10+yrs,Small,1,4,137000,21000,116000,1779607
9,1871,9,Y,0,,External,Aerospace,N,Y,Southeast,0-5yrs,Medium,2,4,224000,64000,160000,4275351
9,1872,2,N,0,2,External,Aerospace,N,N,Southwest,10+yrs,Large,1,0,21000,21000,0,332948
9,1873,1,N,0,1,External,Aerospace,N,N,Midwest,10+yrs,Small,2,2,100000,42000,58000,510936
9,1874,1,N,0,1,External,Aerospace,N,N,Southeast,0-5yrs,Medium,2,3,129000,42000,87000,2446783
9,1875,3,N,0,3,External,Aerospace,N,N,Southeast,0-5yrs,Small,3,2,121000,63000,58000,1920291
9,1876,7,N,0,7,External,Aerospace,N,Y,Midwest,0-5yrs,Medium,1,1,72000,32000,40000,2295314
9,1877,1,N,0,1,External,Aerospace,N,N,Southeast,0-5yrs,Small,1,0,21000,21000,0,1129910
9,1878,1,N,0,1,External,Aerospace,N,N,Midwest,0-5yrs,Small,1,0,21000,21000,0,2133516
9,1879,1,N,0,1,Internal,Aerospace,N,N,Midwest,10+yrs,Small,2,0,42000,42000,0,1695632
9,1880,1,N,0,1,Internal,Aerospace,N,N,West,0-5yrs,Medium,2,0,42000,42000,0,1093043
9,1881,3,N,0,3,Internal,Aerospace,N,N,Southwest,0-5yrs,Medium,2,2,100000,42000,58000,3567867
9,1882,7,N,0,7,Internal,Aerospace,N,Y,Southwest,0-5yrs,Medium,1,0,32000,32000,0,1203898
9,1883,9,Y,0,,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,0,1,29000,0,29000,1300017
9,1884,2,N,0,2,Internal,Aerospace,N,N,Midwest,0-5yrs,Medium,0,1,29000,0,29000,616769
9,1885,3,N,0,3,Internal,Aerospace,N,N,Northeast,6-10yrs,Small,1,1,50000,21000,29000,1752169
9,1985,2,N,1,3,External,Aerospace,N,N,Southeast,0-5yrs,Small,4,2,142000,84000,58000,1840844
9,1986,2,N,1,3,External,Aerospace,N,N,Northeast,0-5yrs,Large,1,0,21000,21000,0,1017278
9,1987,8,Y,1,,External,Aerospace,N,N,West,0-5yrs,Small,2,1,71000,42000,29000,1093403
9,1988,3,N,1,4,External,Aerospace,N,N,Southwest,0-5yrs,Small,1,1,50000,21000,29000,2916810
9,1989,4,N,1,5,Internal,Aerospace,N,N,Southeast,0-5yrs,Small,4,0,84000,84000,0,1446781
9,1990,3,N,1,4,Internal,Aerospace,N,N,Southeast,6-10yrs,Small,2,1,71000,42000,29000,668472
9,1991,8,Y,1,,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,2,0,42000,42000,0,1534991
9,2013,1,N,2,3,External,Aerospace,N,N,Northeast,0-5yrs,Medium,0,1,29000,0,29000,134512
9,2014,1,N,2,3,External,Aerospace,N,N,Southeast,0-5yrs,Small,1,0,21000,21000,0,348794
9,2015,1,N,2,3,External,Aerospace,N,N,Midwest,10+yrs,Small,0,1,29000,0,29000,1751490
9,2016,1,N,2,3,External,Aerospace,N,N,Southwest,0-5yrs,Medium,0,1,29000,0,29000,79093
9,2017,3,N,2,5,External,Aerospace,N,N,Southeast,10+yrs,Small,1,1,50000,21000,29000,671677
9,2018,4,N,2,6,External,Aerospace,N,Y,Southwest,10+yrs,Small,1,1,72000,32000,40000,1202340
9,2019,2,N,2,4,External,Aerospace,N,N,Northeast,0-5yrs,Small,1,0,21000,21000,0,1100998
9,2020,3,N,2,5,External,Aerospace,N,N,West,6-10yrs,Medium,1,1,50000,21000,29000,656522
9,2021,2,N,2,4,Internal,Aerospace,N,N,Midwest,10+yrs,Large,1,1,50000,21000,29000,614584
9,2022,3,N,2,5,Internal,Aerospace,N,N,Midwest,0-5yrs,Small,0,2,58000,0,58000,292763
9,2023,4,N,2,6,Internal,Aerospace,N,Y,West,0-5yrs,Small,1,1,72000,32000,40000,3157635
9,2024,1,N,2,3,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,2,2,100000,42000,58000,880899
9,2025,2,N,2,4,Internal,Aerospace,N,N,Southeast,0-5yrs,Small,0,4,116000,0,116000,973786
9,2026,1,N,2,3,Internal,Aerospace,N,N,West,0-5yrs,Medium,0,1,29000,0,29000,269323
9,2027,1,N,2,3,Internal,Aerospace,N,N,Northeast,0-5yrs,Medium,0,1,29000,0,29000,1131287
9,2028,2,N,2,4,Internal,Aerospace,N,N,West,0-5yrs,Small,1,2,79000,21000,58000,1602413
9,2029,2,N,2,4,Internal,Aerospace,N,N,West,0-5yrs,Large,3,0,63000,63000,0,1464857
9,2030,1,N,2,3,Internal,Aerospace,N,N,Midwest,6-10yrs,Small,1,0,21000,21000,0,3247507
9,2031,2,N,2,4,Internal,Aerospace,N,N,Southwest,0-5yrs,Medium,2,0,42000,42000,0,508527
9,2032,1,N,2,3,Internal,Aerospace,N,N,Southwest,6-10yrs,Small,1,1,50000,21000,29000,1449367
9,2033,7,Y,2,,Internal,Aerospace,N,N,West,0-5yrs,Large,3,3,150000,63000,87000,3986499
9,2034,3,N,2,5,Internal,Aerospace,N,N,Northeast,10+yrs,Small,1,3,108000,21000,87000,1454898
9,2035,1,N,2,3,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,0,3,87000,0,87000,2257297
9,2036,3,N,2,5,Internal,Aerospace,N,N,Northeast,0-5yrs,Medium,1,0,21000,21000,0,2174669
9,2037,7,Y,2,,Internal,Aerospace,N,N,West,0-5yrs,Medium,4,2,142000,84000,58000,4266555
9,2038,3,N,2,5,Internal,Aerospace,N,N,Midwest,10+yrs,Medium,4,1,113000,84000,29000,5033913
9,2039,7,Y,2,,Internal,Aerospace,N,Y,Northeast,0-5yrs,Small,3,6,336000,96000,240000,1751143
9,2244,6,Y,3,,Referral,Aerospace,Y,N,Midwest,0-5yrs,Medium,1,0,21000,21000,0,1725103
9,2245,1,N,3,4,External,Aerospace,N,N,Southwest,0-5yrs,Medium,1,1,50000,21000,29000,206160
9,2246,1,N,3,4,External,Aerospace,N,N,Southwest,0-5yrs,Small,1,0,21000,21000,0,414684
9,2247,1,N,3,4,External,Aerospace,N,N,Midwest,6-10yrs,Small,1,1,50000,21000,29000,2877612
9,2248,6,Y,3,,External,Aerospace,N,Y,Northeast,10+yrs,Large,2,2,144000,64000,80000,2964983
9,2249,2,N,3,5,External,Aerospace,N,N,Midwest,10+yrs,Small,2,1,71000,42000,29000,569385
9,2250,1,N,3,4,Internal,Aerospace,N,N,West,0-5yrs,Small,1,0,21000,21000,0,1071456
9,2251,1,N,3,4,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,3,0,63000,63000,0,1395542
9,2252,1,N,3,4,Internal,Aerospace,N,N,Southwest,0-5yrs,Small,2,0,42000,42000,0,556536
9,2253,6,Y,3,,Internal,Aerospace,N,Y,West,0-5yrs,Small,1,0,32000,32000,0,4382501
9,2254,1,N,3,4,Internal,Aerospace,N,N,Southwest,10+yrs,Small,2,0,42000,42000,0,1930814
9,2255,2,N,3,5,Internal,Aerospace,N,N,West,0-5yrs,Small,3,3,150000,63000,87000,3400149
9,2256,6,Y,3,,Internal,Aerospace,N,Y,Midwest,6-10yrs,Small,5,1,200000,160000,40000,1502563
9,2257,6,Y,3,,Internal,Aerospace,N,N,Midwest,6-10yrs,Small,2,0,42000,42000,0,2316762
9,2258,3,N,3,6,Internal,Aerospace,N,N,West,0-5yrs,Small,1,0,21000,21000,0,1636963
9,2259,4,N,3,7,Internal,Aerospace,N,Y,Southeast,0-5yrs,Medium,1,0,32000,32000,0,2876178
9,2260,6,Y,3,,Internal,Aerospace,N,Y,Midwest,10+yrs,Small,2,4,224000,64000,160000,2547576
9,2261,6,Y,3,,Internal,Aerospace,N,Y,Southwest,0-5yrs,Medium,2,1,104000,64000,40000,3895394
9,2262,6,Y,3,,Internal,Aerospace,N,N,Northeast,6-10yrs,Medium,3,0,63000,63000,0,1587333
9,2263,2,N,3,5,Internal,Aerospace,N,N,Northeast,10+yrs,Small,1,0,21000,21000,0,708572
9,2264,1,N,3,4,Internal,Aerospace,N,N,Northeast,6-10yrs,Small,4,0,84000,84000,0,1129146
9,2412,5,Y,4,,Referral,Aerospace,Y,Y,Midwest,0-5yrs,Small,2,0,64000,64000,0,2126460
9,2413,3,N,4,7,Referral,Aerospace,Y,Y,Midwest,0-5yrs,Medium,3,0,96000,96000,0,3352664
9,2414,5,Y,4,,External,Aerospace,N,Y,Northeast,0-5yrs,Small,2,0,64000,64000,0,914167
9,2415,4,N,4,8,External,Aerospace,N,Y,Southwest,6-10yrs,Small,1,0,32000,32000,0,1270619
9,2416,1,N,4,5,External,Aerospace,N,N,West,0-5yrs,Small,0,4,116000,0,116000,381210
9,2417,4,N,4,8,External,Aerospace,N,Y,West,0-5yrs,Medium,3,0,96000,96000,0,1055808
9,2418,3,N,4,7,Internal,Aerospace,N,Y,Midwest,0-5yrs,Small,0,1,40000,0,40000,3338454
9,2419,5,Y,4,,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,2,2,100000,42000,58000,900170
9,2420,2,N,4,6,Internal,Aerospace,N,Y,Midwest,6-10yrs,Small,1,0,32000,32000,0,3505530
9,2421,3,N,4,7,Internal,Aerospace,N,N,Midwest,6-10yrs,Small,1,0,21000,21000,0,1270311
9,2422,1,N,4,5,Internal,Aerospace,N,N,Midwest,6-10yrs,Small,1,1,50000,21000,29000,1026760
9,2423,5,Y,4,,Internal,Aerospace,N,Y,Midwest,10+yrs,Small,3,4,256000,96000,160000,3891221
9,2424,4,N,4,8,Internal,Aerospace,N,Y,Northeast,6-10yrs,Large,2,3,184000,64000,120000,5892881
9,2425,2,N,4,6,Internal,Aerospace,N,Y,Southeast,0-5yrs,Medium,4,2,208000,128000,80000,4716616
9,2426,1,N,4,5,Internal,Aerospace,N,N,Northeast,0-5yrs,Medium,2,1,71000,42000,29000,1149630
9,2427,1,N,4,5,Internal,Aerospace,N,N,Midwest,0-5yrs,Large,1,0,21000,21000,0,576176
9,2428,1,N,4,5,Internal,Aerospace,N,N,Midwest,6-10yrs,Large,1,0,21000,21000,0,1375915
9,2563,3,N,5,8,Referral,Aerospace,Y,Y,Southwest,6-10yrs,Small,0,1,40000,0,40000,1068606
9,2564,2,N,5,7,External,Aerospace,N,Y,Northeast,0-5yrs,Small,1,1,72000,32000,40000,4205466
9,2565,2,N,5,7,External,Aerospace,N,N,Southwest,10+yrs,Large,0,2,58000,0,58000,4371765
9,2566,2,N,5,7,External,Aerospace,N,N,Southeast,6-10yrs,Medium,1,1,50000,21000,29000,1267551
9,2567,4,Y,5,,Internal,Aerospace,N,Y,Northeast,0-5yrs,Medium,2,1,104000,64000,40000,2343962
9,2568,1,N,5,6,Internal,Aerospace,N,Y,West,10+yrs,Medium,2,2,144000,64000,80000,1601334
9,2569,4,Y,5,,Internal,Aerospace,N,Y,Midwest,0-5yrs,Small,3,1,136000,96000,40000,2451034
9,2867,3,Y,6,,Referral,Aerospace,Y,N,Southwest,0-5yrs,Small,1,3,108000,21000,87000,2180301
9,2868,3,Y,6,,External,Aerospace,N,Y,West,0-5yrs,Small,1,0,32000,32000,0,2970887
9,2869,3,Y,6,,External,Aerospace,N,N,Southeast,10+yrs,Small,4,2,142000,84000,58000,1477287
9,2870,1,N,6,7,External,Aerospace,N,Y,Midwest,0-5yrs,Small,1,2,112000,32000,80000,2809361
9,2871,3,Y,6,,External,Aerospace,N,Y,Southwest,0-5yrs,Large,2,1,104000,64000,40000,2004300
9,2872,2,N,6,8,External,Aerospace,N,Y,Northeast,6-10yrs,Small,0,3,120000,0,120000,3923967
9,2873,2,N,6,8,External,Aerospace,N,Y,Southwest,0-5yrs,Medium,1,0,32000,32000,0,2974807
9,2874,1,N,6,7,External,Aerospace,N,Y,Northeast,0-5yrs,Small,1,0,32000,32000,0,281148
9,2875,1,N,6,7,External,Aerospace,N,N,Southeast,10+yrs,Medium,1,1,50000,21000,29000,1679973
9,2876,1,N,6,7,External,Aerospace,N,Y,Midwest,0-5yrs,Small,1,1,72000,32000,40000,2430216
9,2877,2,N,6,8,External,Aerospace,N,Y,Midwest,6-10yrs,Small,1,0,32000,32000,0,679136
9,2878,2,N,6,8,External,Aerospace,N,Y,Northeast,0-5yrs,Small,3,2,176000,96000,80000,2363567
9,2879,2,N,6,8,External,Aerospace,N,Y,Midwest,10+yrs,Small,5,2,240000,160000,80000,1645531
9,2880,1,N,6,7,External,Aerospace,N,N,Southeast,0-5yrs,Small,2,0,42000,42000,0,377449
9,2881,3,Y,6,,External,Aerospace,N,Y,Southeast,0-5yrs,Medium,1,1,72000,32000,40000,2441959
9,2882,3,Y,6,,External,Aerospace,N,Y,Southeast,6-10yrs,Medium,0,2,80000,0,80000,1496534
9,2883,3,Y,6,,External,Aerospace,N,Y,Northeast,0-5yrs,Small,3,1,136000,96000,40000,2000829
9,2884,3,Y,6,,External,Aerospace,N,N,Northeast,6-10yrs,Small,1,0,21000,21000,0,3263616
9,2885,2,N,6,8,External,Aerospace,N,Y,Southeast,0-5yrs,Small,3,0,96000,96000,0,1485430
9,2886,1,N,6,7,External,Aerospace,N,N,Southeast,0-5yrs,Medium,1,0,21000,21000,0,1770886
9,2887,3,Y,6,,External,Aerospace,N,N,Southeast,0-5yrs,Small,2,4,158000,42000,116000,2218391
9,2888,3,Y,6,,External,Aerospace,N,Y,Midwest,6-10yrs,Small,0,3,120000,0,120000,4732129
9,2889,3,Y,6,,External,Aerospace,N,N,West,10+yrs,Large,1,0,21000,21000,0,3994796
9,2890,2,N,6,8,Internal,Aerospace,N,Y,West,0-5yrs,Large,1,1,72000,32000,40000,708274
9,2891,3,Y,6,,Internal,Aerospace,N,N,West,0-5yrs,Medium,0,4,116000,0,116000,333886
9,2892,3,Y,6,,Internal,Aerospace,N,Y,Southwest,0-5yrs,Small,3,2,176000,96000,80000,1560725
9,2893,2,N,6,8,Internal,Aerospace,N,Y,Southeast,6-10yrs,Small,0,1,40000,0,40000,1748649
9,2894,3,Y,6,,Internal,Aerospace,N,Y,Southeast,0-5yrs,Medium,1,2,112000,32000,80000,1495939
9,2895,1,N,6,7,Internal,Aerospace,N,N,Southwest,0-5yrs,Medium,1,0,21000,21000,0,1783385
9,2896,3,Y,6,,Internal,Aerospace,N,Y,Northeast,6-10yrs,Small,2,0,64000,64000,0,1219142
9,2897,2,N,6,8,Internal,Aerospace,N,N,Southwest,10+yrs,Small,1,0,21000,21000,0,652151
9,2898,2,N,6,8,Internal,Aerospace,N,N,West,6-10yrs,Medium,1,0,21000,21000,0,2163183
9,2899,1,N,6,7,Internal,Aerospace,N,Y,Southeast,0-5yrs,Small,1,0,32000,32000,0,2943993
9,2900,1,N,6,7,Internal,Aerospace,N,N,Southeast,0-5yrs,Large,1,0,21000,21000,0,1302895
9,2901,2,N,6,8,Internal,Aerospace,N,Y,Southwest,10+yrs,Small,0,1,40000,0,40000,1142333
9,2902,3,Y,6,,Internal,Aerospace,N,N,Southeast,6-10yrs,Large,1,0,21000,21000,0,174438
9,2903,3,Y,6,,Internal,Aerospace,N,Y,Northeast,0-5yrs,Medium,1,0,32000,32000,0,3375465
9,2904,3,Y,6,,Internal,Aerospace,N,N,West,6-10yrs,Small,0,1,29000,0,29000,1152221
9,2905,2,N,6,8,Internal,Aerospace,N,N,Northeast,6-10yrs,Small,1,0,21000,21000,0,1739869
9,2906,3,Y,6,,Internal,Aerospace,N,N,Southwest,6-10yrs,Small,3,2,121000,63000,58000,658280
9,2907,1,N,6,7,Internal,Aerospace,N,Y,Northeast,10+yrs,Small,1,0,32000,32000,0,1163154
9,2908,3,Y,6,,Internal,Aerospace,N,Y,Southwest,10+yrs,Small,0,4,160000,0,160000,3005644
9,2909,3,Y,6,,Internal,Aerospace,N,N,Midwest,6-10yrs,Small,1,0,21000,21000,0,3595423
9,2910,2,N,6,8,Internal,Aerospace,N,Y,Midwest,0-5yrs,Medium,1,5,232000,32000,200000,1323388
9,2911,1,N,6,7,Internal,Aerospace,N,N,Southeast,10+yrs,Large,2,2,100000,42000,58000,1622869
9,2912,3,Y,6,,Internal,Aerospace,N,Y,Southwest,0-5yrs,Small,2,2,144000,64000,80000,2125798
9,3282,2,Y,7,,Referral,Aerospace,Y,Y,Southwest,6-10yrs,Small,1,0,32000,32000,0,1842245
9,3283,2,Y,7,,External,Aerospace,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,2823053
9,3284,1,N,7,8,External,Aerospace,N,Y,Northeast,0-5yrs,Small,0,2,80000,0,80000,2583724
9,3285,1,N,7,8,External,Aerospace,N,N,Midwest,10+yrs,Medium,1,1,50000,21000,29000,582752
9,3286,1,N,7,8,External,Aerospace,N,N,West,6-10yrs,Small,0,2,58000,0,58000,2507355
9,3287,2,Y,7,,External,Aerospace,N,N,West,0-5yrs,Small,1,0,21000,21000,0,2190037
9,3288,2,Y,7,,External,Aerospace,N,N,Midwest,0-5yrs,Small,3,2,121000,63000,58000,1408048
9,3289,2,Y,7,,External,Aerospace,N,Y,West,0-5yrs,Small,1,0,32000,32000,0,692852
9,3290,2,Y,7,,External,Aerospace,N,Y,Northeast,0-5yrs,Small,0,1,40000,0,40000,1897634
9,3291,1,N,7,8,External,Aerospace,N,Y,Southwest,0-5yrs,Small,0,1,40000,0,40000,1628440
9,3292,2,Y,7,,External,Aerospace,N,N,Midwest,0-5yrs,Small,2,1,71000,42000,29000,1454642
9,3293,2,Y,7,,Internal,Aerospace,N,Y,Southwest,0-5yrs,Small,1,2,112000,32000,80000,2692411
9,3294,2,Y,7,,Internal,Aerospace,N,Y,Midwest,10+yrs,Small,1,0,32000,32000,0,1504246
9,3295,2,Y,7,,Internal,Aerospace,N,Y,Southwest,6-10yrs,Small,3,1,136000,96000,40000,3456849
9,3296,2,Y,7,,Internal,Aerospace,N,Y,West,6-10yrs,Small,3,1,136000,96000,40000,1448753
9,3297,1,N,7,8,Internal,Aerospace,N,N,Midwest,0-5yrs,Medium,2,2,100000,42000,58000,1748388
9,3298,2,Y,7,,Internal,Aerospace,N,Y,Northeast,0-5yrs,Large,0,2,80000,0,80000,1637665
9,3299,1,N,7,8,Internal,Aerospace,N,N,Southeast,0-5yrs,Medium,1,0,21000,21000,0,967035
9,3300,2,Y,7,,Internal,Aerospace,N,Y,Midwest,6-10yrs,Small,3,1,136000,96000,40000,3433564
9,3301,2,Y,7,,Internal,Aerospace,N,Y,Southeast,0-5yrs,Small,2,0,64000,64000,0,1097980
9,3302,1,N,7,8,Internal,Aerospace,N,Y,Southeast,0-5yrs,Small,1,1,72000,32000,40000,2192091
9,3303,2,Y,7,,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,1,0,21000,21000,0,1196985
9,3304,2,Y,7,,Internal,Aerospace,N,N,Midwest,0-5yrs,Medium,1,2,79000,21000,58000,2241864
9,3305,2,Y,7,,Internal,Aerospace,N,N,Southwest,0-5yrs,Small,1,1,50000,21000,29000,748001
9,3306,2,Y,7,,Internal,Aerospace,N,Y,West,0-5yrs,Medium,2,0,64000,64000,0,2589836
9,3307,2,Y,7,,Internal,Aerospace,N,N,Northeast,6-10yrs,Small,0,2,58000,0,58000,1658876
9,3308,2,Y,7,,Internal,Aerospace,N,N,Midwest,10+yrs,Small,1,1,50000,21000,29000,4127066
9,3309,2,Y,7,,Internal,Aerospace,N,Y,Southeast,6-10yrs,Medium,1,0,32000,32000,0,1938198
9,3310,2,Y,7,,Internal,Aerospace,N,Y,Southwest,0-5yrs,Small,0,3,120000,0,120000,4643828
9,3311,2,Y,7,,Internal,Aerospace,N,N,Southeast,0-5yrs,Small,1,2,79000,21000,58000,4251281
9,3312,2,Y,7,,Internal,Aerospace,N,Y,Northeast,0-5yrs,Small,1,2,112000,32000,80000,3232993
9,3313,1,N,7,8,Internal,Aerospace,N,Y,West,6-10yrs,Large,0,2,80000,0,80000,1605865
9,3314,2,Y,7,,Internal,Aerospace,N,Y,West,0-5yrs,Small,2,0,64000,64000,0,3275817
